都道府県,食料,米,パン,麺類,もち
北海道,949125,24326,29559,20143,1379
青森県,987997,20078,28646,25733,1134
岩手県,1038655,21477,30647,24674,1232
宮城県,1057765,20590,33083,22699,1373
秋田県,998325,18402,25813,24058,1405
山形県,1089428,22874,26678,26063,1885
福島県,1012296,25752,27663,23057,1245
茨城県,979845,15435,28743,20153,1740
栃木県,1107810,17670,32961,21846,1876
群馬県,964362,22325,33047,19848,1556
埼玉県,1184112,21070,37483,20039,1694
千葉県,1134924,20638,37111,19790,1859
東京都,1236317,18864,38961,20790,1904
神奈川県,1104304,17852,33221,19376,1338
新潟県,1049122,24795,35012,22267,2903
富山県,1125561,21984,33914,24542,2781
石川県,1088942,21463,38509,21385,3081
福井県,960370,23580,31761,17396,2748
山梨県,989562,19960,30506,21351,1653
長野県,1022179,23805,31800,22047,2038
岐阜県,992577,18822,32970,19139,1999
静岡県,1102255,25433,32335,19491,1454
愛知県,1130760,20984,35314,22011,2124
三重県,1045420,17484,33948,19656,2000
滋賀県,1053672,18584,39342,20415,1449
京都府,1101876,20327,38654,19374,1875
大阪府,1069019,22486,38497,23414,1491
兵庫県,1091009,20132,41183,19097,1531
奈良県,1080684,21517,36752,22288,1879
和歌山県,951991,23938,39397,18376,1698
鳥取県,932098,17135,30938,20138,1737
島根県,970642,18519,31613,22855,1805
岡山県,1029860,15348,36064,19694,1576
広島県,1060678,17671,39004,20953,1440
山口県,976318,18226,31348,19754,1313
徳島県,957934,17390,33503,17924,1458
香川県,998791,15730,34377,22481,1453
愛媛県,890517,17602,31622,19453,1779
高知県,1026877,17959,32109,20154,975
福岡県,1024477,18808,35518,17832,1669
佐賀県,959790,20269,30539,18112,1492
長崎県,968181,24623,35668,20359,1463
熊本県,1022115,20819,29301,18179,1505
大分県,945300,17575,28983,16854,1080
宮崎県,930232,18881,29168,16501,1070
鹿児島県,960838,21768,31632,18918,1539
沖縄県,929746,23812,28703,17183,1144
